AddressingMode,Raw Count
Register-Register,2621160372
Register-Displacement,2608539498
Absolute,2576466862
Displacement-Register,1349245191
Register-Immediate,1098783465
Register,845541443
None,580120690
RegisterIndirect-Register,515702278
Register-RegisterIndirect,397751549
Displacement-Immediate,336316225
Register-Absolute,243869153
Displacement-Absolute,102744444
Register-Indexed,98531002
Displacement,92968856
RegisterIndirect-Immediate,62004483
Register-Scaled,36195563
Scaled-Register,20723584
Immediate,14934137
Indexed-Register,12540024
RegisterIndirect,12375256
Register-Register-Immediate,7977608
RegisterIndirect-Absolute,6124326
Indexed-Immediate,5189638
RegisterIndirect-RegisterIndirect,3716205
Scaled-Immediate,3138887
Register-RegisterAbsolute,2075371
Register-Register-Register,914097
Register-Displacement-Immediate,419458
Scaled,353442
Indexed-Absolute,261806
Absolute-Absolute,222133
Register-Register-Displacement,169529
Indexed,138567
Register-Displacement-Absolute,113636
Register-Register-Register-Register,63939
Register-Scaled-Immediate,61327
Register-RegisterIndirect-Immediate,55019
Register-Register-Register-Immediate,50830
Register-Register-RegisterIndirect,44572
Immediate-Register,42425
Immediate-Immediate,38652
Register-RegisterIndirect-Absolute,26235
Register-Register-Indexed,15672
Register-Register-Scaled-Immediate,10796
Register-Register-Scaled,6790
Register-Indexed-Immediate,5163
Register-Register-Displacement-Immediate,2983
Displacement-RegisterImmediate,2101
Scaled-Register-Immediate,2005
Register-Register-Register-Displacement,1768
Register-Register-Displacement-Register,1727
Register-Indexed-Absolute,1520
Displacement-Register-Absolute,790
Indexed-Register-Immediate,574
Register-Register-Displacement-Absolute,456
Register-Register-Scaled-Register,272
Displacement-Register-Register,248
RegisterIndirect-Register-Register,240
RegisterIndirect-Register-Immediate,232
Register-Register-Register-Scaled,180
Register-Register-Register-Indexed,180
Register-Displacement-Register,156
Register-Register-Register-RegisterIndirect,144
Indexed-Register-Register,44
Register-Register-RegisterIndirect-Immediate,41
Register-Register-Indexed-Immediate,26
Register-Register-Displacement-Register-Absolute,5
Register-Register-RegisterIndirect-Register,4
